idx,imdb_id,title,genres,keywords,overview,popularity,release_date,tagline,vote_average,vote_count,overview_tk,tagline_tk
57,tt0082971,Raiders of the Lost Ark,"['Adventure', 'Action']","['saving the world', 'riddle', 'nepal', 'himalaya', 'cairo', 'moses', 'egypt', 'whip', 'treasure', 'medallion', 'leather jacket', 'nazis', 'hat', 'mediterranean', 'ark of the covenant', 'ten commandments', 'treasure hunt', 'excavation', 'swastika', 'archaeologist', 'indiana jones']","When Dr. Indiana Jones ??the tweed-suited professor who just happens to be a celebrated archaeologist ??is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",19.901576,1981-06-12,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,7.7,3949,"['dr.', 'indiana', 'jones', 'tweed-suited', 'professor', 'happens', 'celebrated', 'archaeologist', 'hired', 'government', 'locate', 'legendary', 'ark', 'covenant', 'finds', 'entire', 'nazi', 'regime']","['indiana', 'jones', '-', 'new', 'hero', 'creators', 'jaws', 'star', 'wars']"
58,tt0090605,Aliens,"['Horror', 'Action', 'Thriller', 'Science Fiction']","['android', 'extraterrestrial technology', 'space marine', 'spaceman', 'cryogenics', 'vacuum', 'space colony', 'warrior woman', 'settler', 'space travel', 'colony', 'alien', 'xenomorph']","When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story, all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.",21.761179,1986-07-18,This Time It's War,7.7,3282,"['ripley', 'lifepod', 'found', 'salvage', 'crew', '50', 'years', 'later', 'finds', 'terra-formers', 'planet', 'found', 'alien', 'species', 'company', 'sends', 'family', 'colonists', 'investigate', 'story', 'contact', 'lost', 'planet', 'colonists', 'enlist', 'ripley', 'colonial', 'marines', 'return', 'search', 'answers']","['time', 'war']"
59,tt0060196,"The Good, the Bad and the Ugly",['Western'],"['bounty hunter', 'refugee', 'gold', 'anti hero', 'gallows', 'hitman', 'army', 'outlaw', 'shootout', 'moral ambiguity', 'spaghetti western']","While the Civil War rages between the Union and the Confederacy, three men ??a quiet loner, a ruthless hit man and a Mexican bandit ??comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",16.788787,1966-12-23,For three men the Civil War wasn't hell. It was practice.,8.1,2371,"['civil', 'war', 'rages', 'union', 'confederacy', 'three', 'men', 'quiet', 'loner', 'ruthless', 'hit', 'man', 'mexican', 'bandit', 'comb', 'american', 'southwest', 'search', 'strongbox', 'containing', '200,000', 'stolen', 'gold']","['three', 'men', 'civil', 'war', 'hell', 'practice']"
60,tt0050083,12 Angry Men,['Drama'],"['judge', 'jurors', 'sultriness', 'death penalty', 'father murder', 'puerto rican', 'anonymity', 'court case', 'heat', 'group', 'class', 'innocence', 'court', 'courtroom']","The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",16.503959,1957-03-25,Life is in their hands. Death is on their minds.,8.2,2130,"['defense', 'prosecution', 'rested', 'jury', 'filing', 'jury', 'room', 'decide', 'young', 'spanish-american', 'guilty', 'innocent', 'murdering', 'father', 'begins', 'open', 'shut', 'case', 'soon', 'becomes', 'mini-drama', 'jurors', ""'"", 'prejudices', 'preconceptions', 'trial', 'accused']","['life', 'hands', 'death', 'minds']"
61,tt0056172,Lawrence of Arabia,"['Adventure', 'Drama', 'History', 'War']","['cairo', 'arabian', 'world war i', 'horse', 'jerusalem', 'british army', 'british empire', 'damascus', 'camel', 'war', 'desert', 'arab', 'ottoman empire']","An epic about British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.",10.893332,1962-12-10,,7.8,870,"['epic', 'british', 'officer', 't.e', 'lawrence', 'mission', 'aid', 'arab', 'tribes', 'revolt', 'ottoman', 'empire', 'first', 'world', 'war', 'lawrence', 'becomes', 'flamboyant', 'messianic', 'figure', 'cause', 'arab', 'unity', 'psychological', 'instability', 'threatens', 'undermine', 'achievements']",[]
62,tt0066921,A Clockwork Orange,"['Science Fiction', 'Drama']","['prison', 'street gang', 'rape', 'adolescence', 'sexuality', 'beethoven', 'parent child relationship', 'social worker', 'living together', 'society', 'dystopia', 'controversy', 'controversial', 'violence', 'futuristic society']","Demonic gang-leader Alex goes on the spree of rape, mugging and murder with his pack of ""droogs"". But he's a boy who also likes Beethoven's Ninth and a bit of ""the old in-out, in-out"". He later finds himself at the mercy of the state and its brainwashing experiment designed to take violence off the streets.",17.112594,1971-12-18,"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.",8,3432,"['demonic', 'gang-leader', 'alex', 'goes', 'spree', 'rape', 'mugging', 'murder', 'pack', 'droogs', 'boy', 'also', 'likes', 'beethoven', 'ninth', 'bit', 'old', 'in-out', 'in-out', 'later', 'finds', 'mercy', 'state', 'brainwashing', 'experiment', 'designed', 'take', 'violence', 'streets']","['adventures', 'young', 'man', 'whose', 'principal', 'interests', 'rape', 'ultra-violence', 'beethoven']"
63,tt0056592,To Kill a Mockingbird,"['Crime', 'Drama']","['black people', 'based on novel', 'brother sister relationship', 'becoming an adult', 'isolation', 'arbitrary law', 'socially deprived family', 'tree house', 'wrong accusal', 'farm worker', 'intolerance', 'exclusion', 'court case', 'defence', 'right and justice', 'court', 'child']","In a small Alabama town in the 1930s, scrupulously honest and highly respected lawyer, Atticus Finch puts his career on the line when he agrees to represent Tom Robinson, a black man accused of rape. The trial and the events surrounding it are seen through the eyes of Finch's six-year-old daughter, Scout. While Robinson's trial gives the movie its momentum, there are plenty of anecdotal occurrences before and after the court date: Scout's ever-strengthening bond with older brother, Jem, her friendship with precocious young Dill Harris, her father's no-nonsense reactions to such life-and-death crises as a rampaging mad dog, and especially Scout's reactions to, and relationship with, Boo Radley, the reclusive 'village idiot' who turns out to be her salvation when she is attacked by a venomous bigot.",14.284787,1962-12-25,,7.9,676,"['small', 'alabama', 'town', '1930s', 'scrupulously', 'honest', 'highly', 'respected', 'lawyer', 'atticus', 'finch', 'puts', 'career', 'line', 'agrees', 'represent', 'tom', 'robinson', 'black', 'man', 'accused', 'rape', 'trial', 'events', 'surrounding', 'seen', 'eyes', 'finch', 'six-year-old', 'daughter', 'scout', 'robinson', 'trial', 'gives', 'movie', 'momentum', 'plenty', 'anecdotal', 'occurrences', 'court', 'date', ':', 'scout', 'ever-strengthening', 'bond', 'older', 'brother', 'jem', 'friendship', 'precocious', 'young', 'dill', 'harris', 'father', 'no-nonsense', 'reactions', 'life-and-death', 'crises', 'rampaging', 'mad', 'dog', 'especially', 'scout', 'reactions', 'relationship', 'boo', 'radley', 'reclusive', ""'village"", 'idiot', ""'"", 'turns', 'salvation', 'attacked', 'venomous', 'bigot']",[]
64,tt0078788,Apocalypse Now,"['Drama', 'War']","['guerrilla', 'river', 'vietnam', 'vietcong', 'cambodia', 'army', 'insanity', 'tribe', 'green beret', 'jungle', 'apocalypse', 'death', 'napalm']","At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",13.5963,1979-08-15,This is the end...,8,2112,"['height', 'vietnam', 'war', 'captain', 'benjamin', 'willard', 'sent', 'dangerous', 'mission', 'officially', 'exist', 'ever', 'exist', 'goal', 'locate', '-', 'eliminate', '-', 'mysterious', 'green', 'beret', 'colonel', 'named', 'walter', 'kurtz', 'leading', 'personal', 'army', 'illegal', 'guerrilla', 'missions', 'enemy', 'territory']",['end']
65,tt0064116,Once Upon a Time in the West,['Western'],"['showdown', 'bounty', 'bounty hunter', 'loss of brother', 'sadness', 'blackmail', 'harmonica', 'anti hero', 'auction', 'dying and death', 'peasant', 'insanity', 'spaghetti western']",This classic western masterpiece is an epic film about a widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins forces with a desperado to protect the woman and her land.,15.589351,1968-12-21,There were three men in her life. One to take her... one to love her... and one to kill her.,8.1,1160,"['classic', 'western', 'masterpiece', 'epic', 'film', 'widow', 'whose', 'land', 'life', 'danger', 'railroad', 'getting', 'closer', 'closer', 'taking', 'mysterious', 'harmonica', 'player', 'joins', 'forces', 'desperado', 'protect', 'woman', 'land']","['three', 'men', 'life', 'one', 'take', 'one', 'love', 'one', 'kill']"
66,tt0086190,Return of the Jedi,"['Adventure', 'Action', 'Science Fiction']","['rebel', 'brother sister relationship', 'emperor', 'space battle', 'matter of life and death', 'spaceship', 'death star', 'jabba the hutt', 'ewoks', 'jedi', 'space opera']","As Rebel leaders map their strategy for an all-out attack on the Emperor's newer, bigger Death Star. Han Solo remains frozen in the cavernous desert fortress of Jabba the Hutt, the most loathsome outlaw in the universe, who is also keeping Princess Leia as a slave girl. Now a master of the Force, Luke Skywalker rescues his friends, but he cannot become a true Jedi Knight until he wages his own crucial battle against Darth Vader, who has sworn to win Luke over to the dark side of the Force.",14.586087,1983-05-23,The Empire Falls...,7.9,4763,"['rebel', 'leaders', 'map', 'strategy', 'all-out', 'attack', 'emperor', 'newer', 'bigger', 'death', 'star', 'han', 'solo', 'remains', 'frozen', 'cavernous', 'desert', 'fortress', 'jabba', 'hutt', 'loathsome', 'outlaw', 'universe', 'also', 'keeping', 'princess', 'leia', 'slave', 'girl', 'master', 'force', 'luke', 'skywalker', 'rescues', 'friends', 'become', 'true', 'jedi', 'knight', 'wages', 'crucial', 'battle', 'darth', 'vader', 'sworn', 'win', 'luke', 'dark', 'side', 'force']","['empire', 'falls']"
67,tt0041959,The Third Man,"['Thriller', 'Mystery']","['austria', 'cemetery', 'famous score', 'black market', 'soviet troops', 'prater', 'british army', 'postwar period', 'occupying power', 'staged death', 'cover-up', 'romance', 'suspense', 'sewer', 'brit noir', 'amusement park', 'ferris wheel', 'film noir', 'vienna', 'zither', 'evasion']","Set in postwar Vienna, Austria, ""The Third Man"" stars Joseph Cotten as Holly Martins, a writer of pulp Westerns, who arrives penniless as a guest of his childhood chum Harry Lime, only to find him dead. Martins develops a conspiracy theory after learning of a ""third man"" present at the time of Harry's death, running into interference from British officer Maj. Calloway and falling head-over-heels for Harry's grief-stricken lover, Anna.",8.513889,1949-08-31,Hunted by men ... Sought by WOMEN!,7.9,431,"['set', 'postwar', 'vienna', 'austria', 'third', 'man', 'stars', 'joseph', 'cotten', 'holly', 'martins', 'writer', 'pulp', 'westerns', 'arrives', 'penniless', 'guest', 'childhood', 'chum', 'harry', 'lime', 'find', 'dead', 'martins', 'develops', 'conspiracy', 'theory', 'learning', 'third', 'man', 'present', 'time', 'harry', 'death', 'running', 'interference', 'british', 'officer', 'maj.', 'calloway', 'falling', 'head-over-heels', 'harry', 'grief-stricken', 'lover', 'anna']","['hunted', 'men', 'sought', 'women']"
68,tt0099685,GoodFellas,"['Drama', 'Crime']","['prison', 'based on novel', 'florida', '1970s', 'mass murder', 'irish-american', 'drug traffic', 'biography', 'based on true story', 'murder', 'organized crime', 'gore', 'mafia', 'gangster', 'new york city', 'extreme violence', 'violence', 'brooklyn new york city', 'crime epic', 'tampa']","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",15.424092,1990-09-12,Three Decades of Life in the Mafia.,8.2,3211,"['true', 'story', 'henry', 'hill', 'half-irish', 'half-sicilian', 'brooklyn', 'kid', 'adopted', 'neighbourhood', 'gangsters', 'early', 'age', 'climbs', 'ranks', 'mafia', 'family', 'guidance', 'jimmy', 'conway']","['three', 'decades', 'life', 'mafia']"
69,tt0078748,Alien,"['Horror', 'Action', 'Thriller', 'Science Fiction']","['android', 'countdown', 'space marine', 'space suit', 'beheading', 'dystopia', 'biology', 'cowardice', 'spaceship', 'space', 'alien', 'female protagonist', 'outer space', 'parasite', 'h. r. giger', 'xenomorph']","During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",23.37742,1979-05-25,In space no one can hear you scream.,7.9,4564,"['return', 'earth', 'commercial', 'spaceship', 'nostromo', 'intercepts', 'distress', 'signal', 'distant', 'planet', 'three-member', 'team', 'crew', 'discovers', 'chamber', 'containing', 'thousands', 'eggs', 'planet', 'creature', 'inside', 'one', 'eggs', 'attacks', 'explorer', 'entire', 'crew', 'unaware', 'impending', 'nightmare', 'set', 'descend', 'upon', 'alien', 'parasite', 'planted', 'inside', 'unfortunate', 'host', 'birthed']","['space', 'one', 'hear', 'scream']"
71,tt0054215,Psycho,"['Drama', 'Horror', 'Thriller']","['hotel', 'clerk', 'arizona', 'shower', 'rain', 'motel', 'money', 'secretary', 'corpse', 'murderer', 'theft', 'private detective', 'proto-slasher']","When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother. The place seems quirky, but fine??until Marion decides to take a shower.",36.826309,1960-06-16,The master of suspense moves his cameras into the icy blackness of the unexplored!,8.3,2405,"['larcenous', 'real', 'estate', 'clerk', 'marion', 'crane', 'goes', 'lam', 'wad', 'cash', 'hopes', 'starting', 'new', 'life', 'ends', 'notorious', 'bates', 'motel', 'manager', 'norman', 'bates', 'cares', 'housebound', 'mother', 'place', 'seems', 'quirky', 'fine', 'marion', 'decides', 'take', 'shower']","['master', 'suspense', 'moves', 'cameras', 'icy', 'blackness', 'unexplored']"
72,tt0071562,The Godfather: Part II,"['Drama', 'Crime']","['italo-american', 'cuba', 'vororte', 'melancholy', 'praise', 'revenge', 'mafia', 'lawyer', 'blood', 'corrupt politician', 'bloody body of child', 'man punches woman']","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",36.629307,1974-12-20,"I don't feel I have to wipe everybody out, Tom. Just my enemies.",8.3,3418,"['continuing', 'saga', 'corleone', 'crime', 'family', 'young', 'vito', 'corleone', 'grows', 'sicily', '1910s', 'new', 'york', '1950s', 'michael', 'corleone', 'attempts', 'expand', 'family', 'business', 'las', 'vegas', 'hollywood', 'cuba']","['feel', 'wipe', 'everybody', 'tom', 'enemies']"
73,tt0093058,Full Metal Jacket,"['Drama', 'War']","['suicide', 'prostitute', 'helicopter', 'based on novel', 'journalism', 'sniper', 'propaganda', 'vietnam', 'recruit', 'war photographer', 'war correspondent', 'war', 'boot camp', 'rescue', 'jungle', 'infantry', 'sergeant', 'racism', 'violence', 'genocide', 'fighting', 'platoon', 'combat', 'discipline', 'obstacle course', 'peace sign', 'u.s. marine', 'mass grave', 'blanket party']",A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,13.94148,1987-06-26,"Vietnam can kill me, but it can???make me care.",7.9,2595,"['pragmatic', 'u.s.', 'marine', 'observes', 'dehumanizing', 'effects', 'u.s.-vietnam', 'war', 'fellow', 'recruits', 'brutal', 'boot', 'camp', 'training', 'bloody', 'street', 'fighting', 'hue']","['vietnam', 'kill', 'make', 'care']"
74,tt0086879,Amadeus,"['Drama', 'History', 'Music']","['italy', 'composer', 'opera', 'talent', 'musician', 'marriage crisis', 'god', 'murder', 'vienna austria', 'envy', '18th century']","The incredible story of genius musician Wolfgang Amadeus Mozart, told in flashback by his peer and secret rival Antonio Salieri ??now confined to an insane asylum.",12.677592,1984-10-26,...Everything you've heard is true,7.8,1107,"['incredible', 'story', 'genius', 'musician', 'wolfgang', 'amadeus', 'mozart', 'told', 'flashback', 'peer', 'secret', 'rival', 'antonio', 'salieri', 'confined', 'insane', 'asylum']","['everything', ""'ve"", 'heard', 'true']"
75,tt0087843,Once Upon a Time in America,"['Drama', 'Crime']","['life and death', 'corruption', 'street gang', 'rape', 'sadistic', 'lovesickness', 'sexual abuse', 'money laundering', 'opium']","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",32.182851,1984-02-16,"Crime, passion and lust for power - Sergio Leone's explosive saga of gangland America.",8.3,1104,"['former', 'prohibition-era', 'jewish', 'gangster', 'returns', 'lower', 'east', 'side', 'manhattan', 'thirty', 'years', 'later', 'must', 'confront', 'ghosts', 'regrets', 'old', 'life']","['crime', 'passion', 'lust', 'power', '-', 'sergio', 'leone', 'explosive', 'saga', 'gangland', 'america']"
76,tt0081398,Raging Bull,['Drama'],"['transporter', 'jealousy', 'violent husband', 'paranoia', 'boxer', 'biography', 'fistfight', 'broken nose', 'sport', 'domestic violence', 'extreme violence', 'over-the-hill fighter']","When Jake LaMotta steps into a boxing ring and obliterates his opponent, he's a prizefighter. But when he treats his family and friends the same way, he's a ticking time bomb, ready to go off at any moment. Though LaMotta wants his family's love, something always seems to come between them. Perhaps it's his violent bouts of paranoia and jealousy. This kind of rage helped make him a champ, but in real life, he winds up in the ring alone.",8.868558,1980-11-14,,7.7,968,"['jake', 'lamotta', 'steps', 'boxing', 'ring', 'obliterates', 'opponent', 'prizefighter', 'treats', 'family', 'friends', 'way', 'ticking', 'time', 'bomb', 'ready', 'go', 'moment', 'though', 'lamotta', 'wants', 'family', 'love', 'something', 'always', 'seems', 'come', 'perhaps', 'violent', 'bouts', 'paranoia', 'jealousy', 'kind', 'rage', 'helped', 'make', 'champ', 'real', 'life', 'winds', 'ring', 'alone']",[]
77,tt0082096,Das Boot,"['Action', 'Drama', 'History', 'War', 'Adventure']","['terror', 'submarine', 'based on novel', 'atlantic ocean', 'gibraltar', 'world war ii', 'duty', 'war correspondent', 'torpedo', 'drinking', 'sailor', 'convoy', 'u boat', 'destroyer', 'depth charge', 'comrade', 'german submarine', 'naval battle', 'periscope', 'suicidal mission']","A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits.",8.80338,1981-09-16,When the hunters become the hunted,7.9,623,"['german', 'submarine', 'hunts', 'allied', 'ships', 'second', 'world', 'war', 'soon', 'becomes', 'hunted', 'crew', 'tries', 'survive', 'surface', 'stretching', 'boat', 'limits']","['hunters', 'become', 'hunted']"
78,tt0070735,The Sting,"['Comedy', 'Crime', 'Drama']","['chicago', 'bet', 'horse race', 'repayment', 'con man', 'mafia boss', 'violence', 'ragtime', 'reference to mutt and jeff', 'off track betting', 'sting operation', 'alley', '1930s', '20th century']",Set in the 1930's this intricate caper deals with an ambitious small-time crook and a veteran con man who seek revenge on a vicious crime lord who murdered one of their gang.,12.016821,1973-12-25,...all it takes is a little confidence.,7.9,639,"['set', '1930', 'intricate', 'caper', 'deals', 'ambitious', 'small-time', 'crook', 'veteran', 'con', 'man', 'seek', 'revenge', 'vicious', 'crime', 'lord', 'murdered', 'one', 'gang']","['takes', 'little', 'confidence']"
79,tt0050976,The Seventh Seal,"['Fantasy', 'Drama']","['chess', 'countryside', 'witch', 'blacksmith', 'allegory', 'symbolism', 'artist', 'last judgment', 'pest', 'crusade', 'juggler', 'burning of witches', 'sense of life', 'dying and death', 'demon', 'death personified', 'death incarnate']","When disillusioned Swedish knight Antonius Block returns home from the Crusades to find his country in the grips of the Black Death, he challenges Death to a chess match for his life. Tormented by the belief that God does not exist, Block sets off on a journey, meeting up with traveling players Jof and his wife, Mia, and becoming determined to evade Death long enough to commit one redemptive act while he still lives.",6.47828,1957-02-16,,7.9,569,"['disillusioned', 'swedish', 'knight', 'antonius', 'block', 'returns', 'home', 'crusades', 'find', 'country', 'grips', 'black', 'death', 'challenges', 'death', 'chess', 'match', 'life', 'tormented', 'belief', 'god', 'exist', 'block', 'sets', 'journey', 'meeting', 'traveling', 'players', 'jof', 'wife', 'mia', 'becoming', 'determined', 'evade', 'death', 'long', 'enough', 'commit', 'one', 'redemptive', 'act', 'still', 'lives']",[]
80,tt0088247,The Terminator,"['Action', 'Thriller', 'Science Fiction']","['saving the world', 'artificial intelligence', 'rebel', 'cyborg', 'shotgun', 'killer robot', 'sun glasses', 'dystopia', 'car chase', 'laser gun', 'urban setting', 'future war']","In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",19.293562,1984-10-26,Your future is in his hands.,7.4,4208,"['post-apocalyptic', 'future', 'reigning', 'tyrannical', 'supercomputers', 'teleport', 'cyborg', 'assassin', 'known', 'terminator', 'back', '1984', 'kill', 'sarah', 'connor', 'whose', 'unborn', 'son', 'destined', 'lead', 'insurgents', '21st', 'century', 'mechanical', 'hegemony', 'meanwhile', 'human-resistance', 'movement', 'dispatches', 'lone', 'warrior', 'safeguard', 'sarah', 'stop', 'virtually', 'indestructible', 'killing', 'machine']","['future', 'hands']"
81,tt0097165,Dead Poets Society,['Drama'],"['individual', 'philosophy', 'poetry', 'shakespeare', 'professor', 'literature', 'friendship', 'filmes focados em um professor']","At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",19.905716,1989-06-02,He was their inspiration. He made their lives extraordinary.,8.1,2786,"['elite', 'old-fashioned', 'boarding', 'school', 'new', 'england', 'passionate', 'english', 'teacher', 'inspires', 'students', 'rebel', 'convention', 'seize', 'potential', 'every', 'day', 'courting', 'disdain', 'stern', 'headmaster']","['inspiration', 'made', 'lives', 'extraordinary']"
82,tt0050212,The Bridge on the River Kwai,"['Drama', 'History', 'War']","['japan', 'resistance', 'japanese', 'river', 'prisoners of war', 'thailand', 'bridge', 'officer']","The classic story of English POWs in Burma forced to build a bridge to aid the war effort of their Japanese captors. British and American intelligence officers conspire to blow up the structure, but Col. Nicholson , the commander who supervised the bridge's construction, has acquired a sense of pride in his creation and tries to foil their plans.",8.851646,1957-10-02,It spans a whole new world of entertainment!,7.7,554,"['classic', 'story', 'english', 'pows', 'burma', 'forced', 'build', 'bridge', 'aid', 'war', 'effort', 'japanese', 'captors', 'british', 'american', 'intelligence', 'officers', 'conspire', 'blow', 'structure', 'col.', 'nicholson', 'commander', 'supervised', 'bridge', 'construction', 'acquired', 'sense', 'pride', 'creation', 'tries', 'foil', 'plans']","['spans', 'whole', 'new', 'world', 'entertainment']"
83,tt0071315,Chinatown,"['Crime', 'Drama', 'Mystery', 'Thriller']","['rape', 'sea', 'river', 'chinatown', 'mistake in person', 'pedophilia', 'dying and death', 'barrage', 'los angeles', 'private detective', 'neo-noir']","Private eye Jake Gittes lives off the murky moral climate of sunbaked, pre-World War II Southern California. Hired by a beautiful socialite to investigate her husband's extra-marital affair, Gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together.",12.29227,1974-06-20,You get tough. You get tender. You get close to each other. Maybe you even get close to the truth.,7.9,939,"['private', 'eye', 'jake', 'gittes', 'lives', 'murky', 'moral', 'climate', 'sunbaked', 'pre-world', 'war', 'ii', 'southern', 'california', 'hired', 'beautiful', 'socialite', 'investigate', 'husband', 'extra-marital', 'affair', 'gittes', 'swept', 'maelstrom', 'double', 'dealings', 'deadly', 'deceits', 'uncovering', 'web', 'personal', 'political', 'scandals', 'come', 'crashing', 'together']","['get', 'tough', 'get', 'tender', 'get', 'close', 'maybe', 'even', 'get', 'close', 'truth']"
84,tt0040897,The Treasure of the Sierra Madre,"['Action', 'Adventure', 'Drama', 'Western']","['mexico', 'gold', 'gold rush', 'greed', 'friends', 'money', 'american', 'bandit', 'dead mule', 'gold mine', 'prospector']","Fred C. Dobbs and Bob Curtin, both down on their luck in Tampico, Mexico in 1925, meet up with a grizzled prospector named Howard and decide to join with him in search of gold in the wilds of central Mexico. Through enormous difficulties, they eventually succeed in finding gold, but bandits, the elements, and most especially greed threaten to turn their success into disaster.",8.070589,1948-01-24,"The nearer they get to their treasure, the farther they get from the law.",7.9,285,"['fred', 'c.', 'dobbs', 'bob', 'curtin', 'luck', 'tampico', 'mexico', '1925', 'meet', 'grizzled', 'prospector', 'named', 'howard', 'decide', 'join', 'search', 'gold', 'wilds', 'central', 'mexico', 'enormous', 'difficulties', 'eventually', 'succeed', 'finding', 'gold', 'bandits', 'elements', 'especially', 'greed', 'threaten', 'turn', 'success', 'disaster']","['nearer', 'get', 'treasure', 'farther', 'get', 'law']"
85,tt0081505,The Shining,"['Horror', 'Thriller']","['hotel', 'isolation', 'hotelier', 'colorado', 'maze', 'bartender', 'ax', 'delusion', 'loneliness', 'caretaker', 'vision', 'snow', 'writer', 'alcoholic', 'snowed in', 'off season']","Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",19.611589,1980-05-22,A masterpiece of modern horror.,8.1,3890,"['jack', 'torrance', 'accepts', 'caretaker', 'job', 'overlook', 'hotel', 'along', 'wife', 'wendy', 'son', 'danny', 'must', 'live', 'isolated', 'rest', 'world', 'winter', ""n't"", 'prepared', 'madness', 'lurks', 'within']","['masterpiece', 'modern', 'horror']"
86,tt0092005,Stand by Me,"['Crime', 'Drama']","['based on novel', 'friendship', 'coming of age', 'railroad track', 'story within the story', 'campfire story', 'reference to superman', 'normandy beach', 'child', '1950s', 'boys']","After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy.",15.206957,1986-08-22,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",7.8,1568,"['death', 'friend', 'writer', 'recounts', 'boyhood', 'journey', 'find', 'body', 'missing', 'boy']","['last', 'real', 'taste', 'innocence', 'first', 'real', 'taste', 'life', 'everyone', 'time', 'memories', 'made']"
87,tt0022100,M,"['Drama', 'Action', 'Thriller', 'Crime']","['germany', 'berlin', 'underworld', 'child murderer', 'detective inspector', 'organized crime', 'criminal']","In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice.",12.752421,1931-05-11,,8,465,"['classic', 'german', 'thriller', 'hans', 'beckert', 'serial', 'killer', 'preys', 'children', 'becomes', 'focus', 'massive', 'berlin', 'police', 'manhunt', 'beckert', 'heinous', 'crimes', 'repellant', 'disruptive', 'city', 'life', 'even', 'targeted', 'others', 'seedy', 'underworld', 'network', 'cops', 'criminals', 'pursuit', 'murderer', 'soon', 'realizes', 'people', 'trail', 'sending', 'tense', 'panicked', 'attempt', 'escape', 'justice']",[]
